Team,Att_off_passing,Cmp_off_passing,Cmp %_off_passing,Yds/Att_off_passing,Pass Yds_off_passing,TD_off_passing,INT_off_passing,Rate_off_passing,1st_off_passing,1st%_off_passing,20+_off_passing,40+_off_passing,Lng_off_passing,Sck_off_passing,SckY_off_passing,Att_off_rushing,Rush Yds_off_rushing,YPC_off_rushing,TD_off_rushing,20+_off_rushing,40+_off_rushing,Lng_off_rushing,Rush 1st_off_rushing,Rush 1st%_off_rushing,Rush FUM_off_rushing,Rec_off_receiving,Yds_off_receiving,Yds/Rec_off_receiving,TD_off_receiving,20+_off_receiving,40+_off_receiving,Lng_off_receiving,Rec 1st_off_receiving,Rec 1st%_off_receiving,Rec FUM_off_receiving,Rsh TD_off_scoring,Rec TD_off_scoring,Tot TD_off_scoring,2-PT_off_scoring,3rd Att_off_downs,3rd Md_off_downs,4th Att_off_downs,4th Md_off_downs,Rec 1st_off_downs,Rec 1st%_off_downs,Rush 1st_off_downs,Rush 1st%_off_downs,Scrm Plys_off_downs
Football Team,601,389,64.7,6.3,3796,16,16,80.1,184,30.6,40,6,68,50,331,400,1611,4,18,7,1,40,108,27,3,389,3796,9.8,16,40,6,68,184,47.3,7,18,16,37,0,225,88,19,11,184,47.3,108,27,1051
Buccaneers,626,410,65.5,7.6,4776,42,12,102.8,238,38,67,12,50,22,150,369,1519,4.1,16,9,2,98,82,22.2,3,410,4776,11.6,42,67,12,50,238,58,5,16,42,59,0,191,83,14,8,238,58,82,22.2,1017
Seahawks,563,388,68.9,7.5,4245,40,13,105,216,38.4,45,11,62,48,304,411,1971,4.8,15,11,1,50,111,27,6,388,4245,10.9,40,45,11,62,216,55.7,3,15,40,55,1,189,76,14,8,216,55.7,111,27,1022
49ers,570,371,65.1,7.6,4320,25,17,90.1,217,38.1,55,10,76,39,287,437,1889,4.3,19,8,2,80,101,23.1,6,371,4320,11.6,25,55,10,76,217,58.5,1,19,25,45,1,197,77,15,6,217,58.5,101,23.1,1046
Chargers,627,413,65.9,7.3,4548,31,10,97,226,36,54,10,72,34,219,466,1784,3.8,12,10,0,36,111,23.8,8,413,4548,11,31,54,10,72,226,54.7,3,12,31,45,2,224,99,25,12,226,54.7,111,23.8,1127
Steelers,656,428,65.2,6.3,4129,35,11,93.5,206,31.4,48,7,84,14,126,373,1351,3.6,12,10,2,59,81,21.7,7,428,4129,9.6,35,48,7,84,206,48.1,8,12,35,50,2,230,97,19,10,206,48.1,81,21.7,1043
Cardinals,575,387,67.3,7.1,4102,27,13,94.1,211,36.7,45,14,80,29,186,479,2237,4.7,22,17,2,69,136,28.4,9,387,4102,10.6,27,45,14,80,211,54.5,6,22,27,49,0,202,80,25,17,211,54.5,136,28.4,1083
Eagles,598,334,55.9,6.2,3728,22,20,72.9,177,29.6,43,9,81,65,401,403,2027,5,16,12,5,82,114,28.3,15,334,3728,11.2,22,43,9,81,177,53,1,16,22,42,7,220,82,35,15,177,53,114,28.3,1066
Jets,499,292,58.5,6.2,3115,16,14,75.9,146,29.3,39,6,69,43,319,406,1683,4.1,9,4,1,46,94,23.2,2,292,3115,10.7,16,39,6,69,146,50,2,9,16,26,1,206,70,18,7,146,50,94,23.2,948
Giants,517,321,62.1,6.5,3336,12,11,79.6,178,34.4,36,5,53,50,310,399,1768,4.4,13,9,3,80,91,22.8,5,321,3336,10.4,12,36,5,53,178,55.5,3,13,12,27,2,198,72,22,14,178,55.5,91,22.8,966
Saints,522,370,70.9,7.6,3945,28,8,104.1,199,38.1,44,9,52,29,187,494,2265,4.6,30,14,3,49,147,29.8,9,370,3945,10.7,28,44,9,52,199,53.8,4,30,28,59,0,208,93,16,11,199,53.8,147,29.8,1045
Patriots,440,283,64.3,7.1,3124,12,14,81.1,157,35.7,38,3,50,37,234,502,2346,4.7,20,13,3,49,143,28.5,8,283,3124,11,12,38,3,50,157,55.5,6,20,12,36,1,186,76,17,9,157,55.5,143,28.5,979
Vikings,516,349,67.6,8.3,4265,35,13,105,212,41.1,58,7,71,39,256,468,2283,4.9,20,10,1,70,139,29.7,5,349,4265,12.2,35,58,7,71,212,60.7,4,20,35,55,8,181,74,23,13,212,60.7,139,29.7,1023
Dolphins,559,370,66.2,7,3937,24,13,91.2,207,37,40,4,70,34,201,428,1688,3.9,15,7,0,31,100,23.4,5,370,3937,10.6,24,40,4,70,207,55.9,3,15,24,42,4,202,78,10,8,207,55.9,100,23.4,1021
Raiders,551,369,67,8,4383,28,10,100.4,206,37.4,59,12,85,28,166,457,1916,4.2,20,9,1,43,121,26.5,9,369,4383,11.9,28,59,12,85,206,55.8,4,20,28,48,1,198,91,21,16,206,55.8,121,26.5,1036
Rams,590,392,66.4,7.1,4183,20,14,88.4,206,34.9,50,6,56,25,169,473,2018,4.3,19,9,4,61,123,26,4,392,4183,10.7,20,50,6,56,206,52.6,4,19,20,43,1,226,98,17,8,206,52.6,123,26,1088
Chiefs,630,420,66.7,7.9,5005,40,7,107.3,255,40.5,69,8,75,24,151,403,1799,4.5,13,10,0,32,110,27.3,5,420,5005,11.9,40,69,8,75,255,60.7,7,13,40,57,3,194,95,16,9,255,60.7,110,27.3,1057
Jaguars,616,387,62.8,6.4,3955,25,16,83.9,205,33.3,45,5,73,44,256,337,1519,4.5,9,6,1,47,80,23.7,3,387,3955,10.2,25,45,5,73,205,53,2,9,25,37,3,207,84,26,7,205,53,80,23.7,997
Colts,552,371,67.2,7.6,4186,24,11,95.9,201,36.4,56,8,55,21,133,459,1996,4.3,20,12,3,62,129,28.1,1,371,4186,11.3,24,56,8,55,201,54.2,3,20,24,50,3,197,78,26,16,201,54.2,129,28.1,1032
Texans,546,383,70.1,8.9,4843,33,7,112.3,222,40.7,70,11,77,50,305,344,1466,4.3,10,5,1,48,83,24.1,7,383,4843,12.6,33,70,11,77,222,58,7,10,33,44,1,193,83,16,9,222,58,83,24.1,940
Titans,485,316,65.2,7.9,3826,33,7,105.9,203,41.9,44,13,75,25,173,521,2690,5.2,26,20,5,94,142,27.3,5,316,3826,12.1,33,44,13,75,203,64.2,3,26,33,62,4,182,84,16,10,203,64.2,142,27.3,1031
Packers,526,372,70.7,8.2,4299,48,5,121.5,216,41.1,57,14,78,21,193,443,2118,4.8,16,10,4,77,114,25.7,4,372,4299,11.6,48,57,14,78,216,58.1,3,16,48,66,2,180,89,21,13,216,58.1,114,25.7,990
Lions,582,374,64.3,7.6,4397,27,13,93.3,220,37.8,58,8,73,42,293,367,1499,4.1,17,5,1,54,93,25.3,5,374,4397,11.8,27,58,8,73,220,58.8,1,17,27,45,2,192,79,20,10,220,58.8,93,25.3,991
Broncos,556,317,57,6.6,3673,21,23,72.5,176,31.7,49,11,92,32,222,442,1918,4.3,13,13,3,65,94,21.3,7,317,3673,11.6,21,49,11,92,176,55.5,6,13,21,35,2,212,82,15,4,176,55.5,94,21.3,1030
Cowboys,639,413,64.6,7.1,4511,25,13,89.9,231,36.2,50,11,69,44,350,430,1788,4.2,14,7,2,42,115,26.7,7,413,4511,10.9,25,50,11,69,231,55.9,3,14,25,42,4,215,87,31,17,231,55.9,115,26.7,1113
Browns,501,315,62.9,7.4,3701,27,8,96.6,195,38.9,45,5,75,26,162,495,2374,4.8,21,21,4,59,133,26.9,7,315,3701,11.7,27,45,5,75,195,61.9,6,21,27,50,2,196,88,24,8,195,61.9,133,26.9,1022
Bengals,581,372,64,6.5,3793,19,11,85.7,201,34.6,35,5,72,48,345,411,1668,4.1,13,9,2,55,92,22.4,8,372,3793,10.2,19,35,5,72,201,54,4,13,19,33,0,213,77,27,19,201,54,92,22.4,1040
Bears,614,402,65.5,6.4,3925,26,16,86.5,218,35.5,42,3,53,36,270,393,1647,4.2,12,8,3,80,93,23.7,1,402,3925,9.8,26,42,3,53,218,54.2,5,12,26,40,2,205,71,28,17,218,54.2,93,23.7,1043
Panthers,550,373,67.8,7.5,4129,16,16,87.5,192,34.9,55,9,75,36,241,407,1704,4.2,19,6,1,45,110,27,7,373,4129,11.1,16,55,9,75,192,51.5,3,19,16,38,1,195,76,27,15,192,51.5,110,27,993
Bills,596,410,68.8,8,4786,40,11,107.6,240,40.3,66,10,56,27,166,411,1723,4.2,16,10,1,51,119,29,6,410,4786,11.7,40,66,10,56,240,58.5,3,16,40,60,0,187,93,10,8,240,58.5,119,29,1034
Ravens,406,257,63.3,7.2,2919,27,11,95.7,142,35,38,5,70,32,180,555,3071,5.5,24,31,5,72,166,29.9,11,257,2919,11.4,27,38,5,70,142,55.3,3,24,27,55,2,207,101,19,12,142,55.3,166,29.9,993
Falcons,628,408,65,7.4,4620,27,11,93.9,243,38.7,59,8,63,41,257,409,1532,3.7,13,6,1,62,86,21,5,408,4620,11.3,27,59,8,63,243,59.6,5,13,27,41,1,221,97,26,15,243,59.6,86,21,1078
